,deal_id,deal_date,deal_year,firm_name,firm_id,round_total_raw,round_total,num_investors,avg_invest_per_investor,investor_name,deal_type,country,city,year_founded,codex_category,market,problem_1,problem_2,problem_3,analytics,ai,point_integrated,firm_age
18,DEAL0013,2006-09-11,2006,Pbworks,FIRM0063,350000,350000.0,1,350000.0,Seraph Group,Angel,USA,California,2005,Legal Document Automation,Corporate,Workflow & PM,KM,Other Practice Tech,1.0,0.0,Integrated Solution,1
22,DEAL0015,2007-01-01,2007,TeamPatent,FIRM0073,100000,100000.0,1,100000.0,undisclosed,Grant,USA,California,2006,Legal Practice Management,Corporate,Other Practice Tech,NONE,NONE,0.0,0.0,Point Solution,1
23,DEAL0016,2007-01-18,2007,Workshare,FIRM0027,23000000,23000000.0,4,5750000.0,Intel Capital,Series B,UK,London,1999,Legal Analytics,Corporate,Contracts,Legal Research,NONE,0.0,0.0,Point Solution,8
24,DEAL0016,2007-01-18,2007,Workshare,FIRM0027,above,23000000.0,4,5750000.0,Quester Capital,Series B,UK,London,1999,Legal Analytics,Corporate,Contracts,Legal Research,NONE,0.0,0.0,Point Solution,8
25,DEAL0016,2007-01-18,2007,Workshare,FIRM0027,above,23000000.0,4,5750000.0,SPARK VCT,Series B,UK,London,1999,Legal Analytics,Corporate,Contracts,Legal Research,NONE,0.0,0.0,Point Solution,8
26,DEAL0016,2007-01-18,2007,Workshare,FIRM0027,above,23000000.0,4,5750000.0,Steelpoint Capital Partners,Series B,UK,London,1999,Legal Analytics,Corporate,Contracts,Legal Research,NONE,0.0,0.0,Point Solution,8
27,DEAL0017,2007-02-01,2007,Pbworks,FIRM0063,2100000,2100000.0,2,1050000.0,Mohr Davidow Ventures,Venture Capital,USA,California,2005,Legal Document Automation,Corporate,Workflow & PM,KM,Other Practice Tech,1.0,0.0,Integrated Solution,2
28,DEAL0017,2007-02-01,2007,Pbworks,FIRM0063,above,2100000.0,2,1050000.0,Wasabi Ventures,Venture Capital,USA,California,2005,Legal Document Automation,Corporate,Workflow & PM,KM,Other Practice Tech,1.0,0.0,Integrated Solution,2
29,DEAL0018,2007-02-05,2007,RiverGlass,FIRM0050,above,2100000.0,4,525000.0,Country Insurance & Financial Services,Series A,USA,Illinois,2003,Legal Analytics,Corporate,eDiscovery,Other Practice Tech,NONE,1.0,0.0,Point Solution,4
30,DEAL0018,2007-02-05,2007,RiverGlass,FIRM0050,above,2100000.0,4,525000.0,Illinois Finance Authority,Series A,USA,Illinois,2003,Legal Analytics,Corporate,eDiscovery,Other Practice Tech,NONE,1.0,0.0,Point Solution,4
31,DEAL0018,2007-02-05,2007,RiverGlass,FIRM0050,above,2100000.0,4,525000.0,Illinois Ventures,Series A,USA,Illinois,2003,Legal Analytics,Corporate,eDiscovery,Other Practice Tech,NONE,1.0,0.0,Point Solution,4
32,DEAL0018,2007-02-05,2007,RiverGlass,FIRM0050,4000000,4000000.0,4,1000000.0,RPM Ventures,Series A,USA,Illinois,2003,Legal Analytics,Corporate,eDiscovery,Other Practice Tech,NONE,1.0,0.0,Point Solution,4
33,DEAL0019,2007-03-01,2007,PSS Systems,FIRM0055,5000000,5000000.0,1,5000000.0,Hercules Capital Inc,Debt Financing,USA,California,2004,E-Discovery,Corporate,eDiscovery,Workflow & PM,NONE,0.0,0.0,Integrated Solution,3
34,DEAL0020,2007-03-06,2007,LegalZoom,FIRM0025,45000000,45000000.0,1,45000000.0,Polaris Partners,Series A,USA,California,1999,Legal Document Automation,Consumer,Contracts,Peak Load / Staffing,NONE,0.0,0.0,Point Solution,8
35,DEAL0021,2007-04-01,2007,Avvo,FIRM0066,above,45000000.0,2,22500000.0,Benchmark,Series B,USA,Seattle,2007,Legal Marketplace,Consumer,Peak Load / Staffing,Contracts,NONE,0.0,0.0,Point Solution,0
36,DEAL0021,2007-04-01,2007,Avvo,FIRM0066,10000000,10000000.0,2,5000000.0,Ignition Partners,Series B,USA,Seattle,2007,Legal Marketplace,Consumer,Peak Load / Staffing,Contracts,NONE,0.0,0.0,Point Solution,0
37,DEAL0022,2007-04-15,2007,Firmex,FIRM0071,950000,950000.0,1,950000.0,undisclosed,Seed Fund,Canada,Toronto,2006,Legal Practice Management,Corporate,DealTech,LitTech ,NONE,0.0,0.0,Integrated Solution,1
38,DEAL0024,2007-09-01,2007,DocuSign,FIRM0045,12400000,12400000.0,4,3100000.0,Frazier Technology Ventures,Series B,USA,San Francisco,2003,Legal Practice Management,Corporate,Contracts,Other Practice Tech,NONE,0.0,0.0,Point Solution,4
39,DEAL0024,2007-09-01,2007,DocuSign,FIRM0045,above,12400000.0,4,3100000.0,Ignition Partners,Series B,USA,San Francisco,2003,Legal Practice Management,Corporate,Contracts,Other Practice Tech,NONE,0.0,0.0,Point Solution,4
40,DEAL0024,2007-09-01,2007,DocuSign,FIRM0045,above,12400000.0,4,3100000.0,Sigma Partners,Series B,USA,San Francisco,2003,Legal Practice Management,Corporate,Contracts,Other Practice Tech,NONE,0.0,0.0,Point Solution,4
41,DEAL0024,2007-09-01,2007,DocuSign,FIRM0045,above,12400000.0,4,3100000.0,WestRiver Capital,Series B,USA,San Francisco,2003,Legal Practice Management,Corporate,Contracts,Other Practice Tech,NONE,0.0,0.0,Point Solution,4
42,DEAL0025,2007-10-01,2007,AudioCaseFiles,FIRM0065,250000,250000.0,2,125000.0,undisclosed,Seed Fund,USA,Boston,2006,E-Discovery,Corporate,eDiscovery,Other Practice Tech,NONE,0.0,0.0,Point Solution,1
43,DEAL0025,2007-10-01,2007,EchoSign (now Adobe eSign),FIRM0060,6000000,6000000.0,2,3000000.0,Storm Ventures,Series B,USA,Palo Alto,2005,Legal Document Automation,Corporate,Contracts,NONE,NONE,0.0,0.0,Point Solution,2
44,DEAL0026,2008-04-01,2008,TeamPatent,FIRM0073,500000,500000.0,1,500000.0,undisclosed,Grant,USA,California,2006,Legal Practice Management,Corporate,Other Practice Tech,NONE,NONE,0.0,0.0,Point Solution,2
45,DEAL0027,2008-04-22,2008,Exari Systems,FIRM0028,10000000,10000000.0,1,10000000.0,Beacon Equity Partners,Venture Capital,Australia,Melbourne,1999,Legal Document Automation,Corporate,Contracts,Other Practice Tech,NONE,1.0,0.0,Integrated Solution,9
46,DEAL0028,2008-05-15,2008,Firmex,FIRM0071,3500000,3500000.0,1,3500000.0,undisclosed,Angel,Canada,Toronto,2006,Legal Practice Management,Corporate,DealTech,LitTech ,NONE,0.0,0.0,Integrated Solution,2
47,DEAL0029,2008-06-01,2008,Pbworks,FIRM0063,3500000,3500000.0,2,1750000.0,Mohr Davidow Ventures,Series A,USA,California,2005,Legal Document Automation,Corporate,Workflow & PM,KM,Other Practice Tech,1.0,0.0,Integrated Solution,3
48,DEAL0029,2008-06-01,2008,Pbworks,FIRM0063,above,3500000.0,2,1750000.0,Wasabi Ventures,Series A,USA,California,2005,Legal Document Automation,Corporate,Workflow & PM,KM,Other Practice Tech,1.0,0.0,Integrated Solution,3
49,DEAL0030,2008-06-15,2008,PSS Systems,FIRM0055,above,3500000.0,5,700000.0,Azure Capital Partners,Series D,USA,California,2004,E-Discovery,Corporate,eDiscovery,Workflow & PM,NONE,0.0,0.0,Integrated Solution,4
50,DEAL0030,2008-06-15,2008,PSS Systems,FIRM0055,above,3500000.0,5,700000.0,Cipio Partners,Series D,USA,California,2004,E-Discovery,Corporate,eDiscovery,Workflow & PM,NONE,0.0,0.0,Integrated Solution,4
51,DEAL0030,2008-06-15,2008,PSS Systems,FIRM0055,above,3500000.0,5,700000.0,FTVentures,Series D,USA,California,2004,E-Discovery,Corporate,eDiscovery,Workflow & PM,NONE,0.0,0.0,Integrated Solution,4
52,DEAL0030,2008-06-15,2008,PSS Systems,FIRM0055,18000000,18000000.0,5,3600000.0,Granite Ventures,Series D,USA,California,2004,E-Discovery,Corporate,eDiscovery,Workflow & PM,NONE,0.0,0.0,Integrated Solution,4
53,DEAL0030,2008-06-15,2008,PSS Systems,FIRM0055,above,18000000.0,5,3600000.0,NBCUniversal,Series D,USA,California,2004,E-Discovery,Corporate,eDiscovery,Workflow & PM,NONE,0.0,0.0,Integrated Solution,4
54,DEAL0031,2008-06-26,2008,WorkProducts,FIRM0015,100000,100000.0,1,100000.0,CIT GAP Funds,Venture Capital,USA,Virginia,1995,Legal Practice Management,Corporate,eDiscovery,Other Practice Tech,NONE,0.0,0.0,Point Solution,13
55,DEAL0032,2008-08-01,2008,Innography,FIRM0072,6500000,6500000.0,2,3250000.0,Austin Ventures,Series A,USA,Texas,2006,Legal Practice Management,Corporate,Other Practice Tech,NONE,NONE,1.0,0.0,Point Solution,2
56,DEAL0032,2008-08-01,2008,Innography,FIRM0072,above,6500000.0,2,3250000.0,Covera Ventures,Series A,USA,Texas,2006,Legal Practice Management,Corporate,Other Practice Tech,NONE,NONE,1.0,0.0,Point Solution,2
57,DEAL0033,2008-08-08,2008,Mimecast,FIRM0178,2800000,2800000.0,1,2800000.0,undisclosed,Seed Fund,UK,London,2003,E-Discovery,Corporate,eDiscovery,NONE,NONE,1.0,0.0,Point Solution,5
58,DEAL0034,2008-09-03,2008,Mimecast,FIRM0178,3000000,3000000.0,1,3000000.0,Dawn Capital,Series A,UK,London,2003,E-Discovery,Corporate,eDiscovery,NONE,NONE,1.0,0.0,Point Solution,5
59,DEAL0037,2009-01-08,2009,Rocket Lawyer,FIRM0091,2100000,2100000.0,1,2100000.0,LexisNexis,Venture Capital,USA,San Francisco,2008,Legal Document Automation,Consumer,Contracts,Peak Load / Staffing,NONE,0.0,0.0,Point Solution,1
60,DEAL0038,2009-03-03,2009,Zapproved,FIRM0099,100000,100000.0,1,100000.0,undisclosed,Debt Financing,USA,Portland,2008,Legal Practice Management,Corporate,eDiscovery,LitTech ,NONE,1.0,0.0,Integrated Solution,1
61,DEAL0039,2009-05-08,2009,DocuSign,FIRM0045,5000000,5000000.0,4,1250000.0,Frazier Technology Ventures,Series B,USA,San Francisco,2003,Legal Practice Management,Corporate,Contracts,Other Practice Tech,NONE,0.0,0.0,Point Solution,6
62,DEAL0039,2009-05-08,2009,DocuSign,FIRM0045,above,5000000.0,4,1250000.0,Ignition Partners,Series B,USA,San Francisco,2003,Legal Practice Management,Corporate,Contracts,Other Practice Tech,NONE,0.0,0.0,Point Solution,6
63,DEAL0039,2009-05-08,2009,DocuSign,FIRM0045,above,5000000.0,4,1250000.0,Sigma Partners,Series B,USA,San Francisco,2003,Legal Practice Management,Corporate,Contracts,Other Practice Tech,NONE,0.0,0.0,Point Solution,6
64,DEAL0039,2009-05-08,2009,DocuSign,FIRM0045,above,5000000.0,4,1250000.0,WestRiver Capital,Series B,USA,San Francisco,2003,Legal Practice Management,Corporate,Contracts,Other Practice Tech,NONE,0.0,0.0,Point Solution,6
65,DEAL0040,2009-06-01,2009,Contractually,FIRM0119,40500,40500.0,1,40500.0,Bootup Labs,Seed Fund,Canada,Vancouver,2010,Legal Document Automation,Corporate,Contracts,NONE,NONE,0.0,0.0,Integrated Solution,0
66,DEAL0042,2009-08-26,2009,RightsFlow,FIRM0079,1500000,1500000.0,1,1500000.0,Originate Ventures,Series A,USA,New York,2007,Legal Document Automation,Corporate,Legal Ops,NONE,NONE,0.0,0.0,Integrated Solution,2
67,DEAL0044,2009-11-18,2009,DocuSign,FIRM0045,3000000,3000000.0,1,3000000.0,Second Century Ventures,Series B,USA,San Francisco,2003,Legal Practice Management,Corporate,Contracts,Other Practice Tech,NONE,0.0,0.0,Point Solution,6
68,DEAL0045,2009-11-20,2009,Pbworks,FIRM0063,650000,650000.0,1,650000.0,undisclosed,Venture Capital,USA,California,2005,Legal Document Automation,Corporate,Workflow & PM,KM,Other Practice Tech,1.0,0.0,Integrated Solution,4
69,DEAL0047,2010-01-01,2010,ExpertBids.com,FIRM0126,20000,20000.0,1,20000.0,undisclosed,Seed Fund,USA,Chicago,2010,Legal Marketplace,Corporate,Peak Load / Staffing,NONE,NONE,0.0,0.0,Point Solution,0
70,DEAL0048,2010-01-01,2010,TeamPatent,FIRM0073,150000,150000.0,1,150000.0,undisclosed,Grant,USA,California,2006,Legal Practice Management,Corporate,Other Practice Tech,NONE,NONE,0.0,0.0,Point Solution,4
71,DEAL0049,2010-01-25,2010,Mimecast,FIRM0178,21000000,21000000.0,2,10500000.0,Dawn Capital,Series B,UK,London,2003,E-Discovery,Corporate,eDiscovery,NONE,NONE,1.0,0.0,Point Solution,7
72,DEAL0049,2010-01-25,2010,Mimecast,FIRM0178,Above,21000000.0,2,10500000.0,Index Ventures,Series B,UK,London,2003,E-Discovery,Corporate,eDiscovery,NONE,NONE,1.0,0.0,Point Solution,7
73,DEAL0050,2010-02-08,2010,IP Street,FIRM0131,1500000,1500000.0,1,1500000.0,undisclosed,Venture Capital,USA,Washington,2010,Legal Analytics,Corporate,Other Practice Tech,NONE,NONE,1.0,0.0,Point Solution,0
74,DEAL0051,2010-02-22,2010,Innography,FIRM0072,3000000,3000000.0,2,1500000.0,Austin Ventures,Series B,USA,Texas,2006,Legal Practice Management,Corporate,Other Practice Tech,NONE,NONE,1.0,0.0,Point Solution,4
75,DEAL0051,2010-02-22,2010,Innography,FIRM0072,above,3000000.0,2,1500000.0,Covera Ventures,Series B,USA,Texas,2006,Legal Practice Management,Corporate,Other Practice Tech,NONE,NONE,1.0,0.0,Point Solution,4
76,DEAL0052,2010-03-17,2010,Avvo,FIRM0066,above,3000000.0,3,1000000.0,Benchmark,Series C,USA,San Francisco,2008,Legal Marketplace,Consumer,Peak Load / Staffing,Contracts,NONE,0.0,0.0,Point Solution,2
77,DEAL0052,2010-03-17,2010,Avvo,FIRM0066,10000000,10000000.0,3,3333333.3333333335,DAG Ventures,Series C,USA,San Francisco,2008,Legal Marketplace,Consumer,Peak Load / Staffing,Contracts,NONE,0.0,0.0,Point Solution,2
78,DEAL0052,2010-03-17,2010,Avvo,FIRM0066,above,10000000.0,3,3333333.3333333335,Ignition Partners,Series C,USA,San Francisco,2008,Legal Marketplace,Consumer,Peak Load / Staffing,Contracts,NONE,0.0,0.0,Point Solution,2
79,DEAL0053,2010-04-01,2010,Brightleaf,FIRM0069,3000000,3000000.0,1,3000000.0,Foundry Group,Venture Capital,USA,Massachusetts,2006,Legal Analytics,Corporate,Legal Research,eDiscovery,NONE,1.0,1.0,Point Solution,4
80,DEAL0054,2010-05-03,2010,Rocket Lawyer,FIRM0091,6600000,6600000.0,1,6600000.0,Investor Growth Capital,Series A,USA,San Francisco,2008,Legal Document Automation,Consumer,Contracts,Peak Load / Staffing,NONE,0.0,0.0,Point Solution,2
81,DEAL0055,2010-07-08,2010,DocuSign,FIRM0045,2000000,2000000.0,1,2000000.0,Salesforce Ventures,Debt Financing,USA,San Francisco,2003,Legal Practice Management,Corporate,Contracts,Other Practice Tech,NONE,0.0,0.0,Point Solution,7
82,DEAL0056,2010-08-31,2010,Intelligize,FIRM0076,2100000,2100000.0,1,2100000.0,undisclosed,Venture Capital,USA,New York,2007,Legal Research,Corporate,Legal Research,NONE,NONE,1.0,0.0,Point Solution,3
83,DEAL0057,2010-10-01,2010,Manzama,FIRM0135,200000,200000.0,1,200000.0,undisclosed,Angel,USA,Oregon,2010,E-Discovery,Corporate,Legal Research,NONE,NONE,1.0,1.0,Point Solution,0
84,DEAL0058,2010-11-29,2010,Manzama,FIRM0135,847000,847000.0,1,847000.0,undisclosed,Seed Fund,USA,Oregon,2010,E-Discovery,Corporate,Legal Research,NONE,NONE,1.0,1.0,Point Solution,0
85,DEAL0060,2010-12-08,2010,DocuSign,FIRM0045,27000000,27000000.0,5,5400000.0,Frazier Technology Ventures,Series C,USA,San Francisco,2003,Legal Practice Management,Corporate,Contracts,Other Practice Tech,NONE,0.0,0.0,Point Solution,7
86,DEAL0060,2010-12-08,2010,DocuSign,FIRM0045,above,27000000.0,5,5400000.0,Ignition Partners,Series C,USA,San Francisco,2003,Legal Practice Management,Corporate,Contracts,Other Practice Tech,NONE,0.0,0.0,Point Solution,7
87,DEAL0060,2010-12-08,2010,DocuSign,FIRM0045,above,27000000.0,5,5400000.0,Salesforce Ventures,Series C,USA,San Francisco,2003,Legal Practice Management,Corporate,Contracts,Other Practice Tech,NONE,0.0,0.0,Point Solution,7
88,DEAL0060,2010-12-08,2010,DocuSign,FIRM0045,above,27000000.0,5,5400000.0,Scale Venture Partners,Series C,USA,San Francisco,2003,Legal Practice Management,Corporate,Contracts,Other Practice Tech,NONE,0.0,0.0,Point Solution,7
89,DEAL0060,2010-12-08,2010,DocuSign,FIRM0045,above,27000000.0,5,5400000.0,Sigma Partners,Series C,USA,San Francisco,2003,Legal Practice Management,Corporate,Contracts,Other Practice Tech,NONE,0.0,0.0,Point Solution,7
90,DEAL0061,2011-01-14,2011,Clearpath Immigration,FIRM0084,1100000,1100000.0,1,1100000.0,ff Venture Capital,Series B,USA,Miami,2008,Legal Document Automation,Consumer,Contracts,NONE,NONE,1.0,0.0,Integrated Solution,3
91,DEAL0062,2011-02-02,2011,Lex Machina,FIRM0107,811100,811100.0,1,811100.0,Ulu Ventures,Seed Fund,USA,Menlo Park,2009,Legal Analytics,Corporate,Legal Research,LitTech ,NONE,1.0,0.0,Point Solution,2
92,DEAL0063,2011-02-17,2011,Everlaw,FIRM0125,655000,655000.0,1,655000.0,undisclosed,Seed Fund,USA,California,2010,Legal Practice Management,Corporate,Other Practice Tech,Legal Ops,Workflow & PM,1.0,0.0,Integrated Solution,1
93,DEAL0064,2011-04-01,2011,DocuSign,FIRM0045,1100000,1100000.0,1,1100000.0,Akkadian Ventures,Venture Capital,USA,San Francisco,2003,Legal Practice Management,Corporate,Contracts,Other Practice Tech,NONE,0.0,0.0,Point Solution,8
94,DEAL0065,2011-04-04,2011,Zapproved,FIRM0099,1500000,1500000.0,2,750000.0,undisclosed,Series B,USA,Portland,2008,Legal Practice Management,Corporate,eDiscovery,LitTech ,NONE,1.0,0.0,Integrated Solution,3
95,DEAL0065,2011-04-04,2011,Zapproved,FIRM0099,1000000,1000000.0,2,500000.0,undisclosed,Series A,USA,Portland,2008,Legal Practice Management,Corporate,eDiscovery,LitTech ,NONE,1.0,0.0,Integrated Solution,3
96,DEAL0066,2011-04-05,2011,WordRake,FIRM0283,1900000,1900000.0,1,1900000.0,undisclosed,Venture Capital,USA,Washington,2012,Legal Practice Management,Corporate,Other Practice Tech,NONE,NONE,0.0,0.0,Point Solution,0
97,DEAL0067,2011-05-20,2011,Intelligize,FIRM0076,1500000,1500000.0,1,1500000.0,REV (Reed Elsevier Ventures),Series A,USA,New York,2007,Legal Research,Corporate,Legal Research,NONE,NONE,1.0,0.0,Point Solution,4
98,DEAL0068,2011-05-28,2011,JusticeBox,FIRM0174,150000,150000.0,1,150000.0,undisclosed,Seed Fund,USA,New York,2011,Online Dispute Resolution,Corporate,LitTech ,Workflow & PM,NONE,0.0,0.0,Point Solution,0
99,DEAL0069,2011-05-30,2011,Intake 123,FIRM0106,100000,100000.0,1,100000.0,undisclosed,Seed Fund,USA,Colorado,2009,Legal Practice Management,Corporate,Other Practice Tech,NONE,NONE,1.0,0.0,Point Solution,2
100,DEAL0071,2011-06-13,2011,iubenda,FIRM0172,100000,100000.0,1,100000.0,Boox,Seed Fund,Italy,Milano,2011,Legal Document Automation,Corporate,Contracts,NONE,NONE,0.0,0.0,Point Solution,0
101,DEAL0072,2011-07-06,2011,Manzama,FIRM0135,950000,950000.0,1,950000.0,undisclosed,Venture Capital,USA,Oregon,2010,E-Discovery,Corporate,Legal Research,NONE,NONE,1.0,1.0,Point Solution,1
102,DEAL0073,2011-07-07,2011,AttorneyFee,FIRM0159,250000,250000.0,1,250000.0,undisclosed,Seed Fund,USA,California,2011,Legal Marketplace,Consumer,Legal Ops,Peak Load / Staffing,NONE,0.0,0.0,Point Solution,0
103,DEAL0074,2011-07-24,2011,LegalZoom,FIRM0025,Above,250000.0,2,125000.0,Institutional Venture Partners,Series B,USA,California,1999,Legal Document Automation,Consumer,Contracts,Peak Load / Staffing,NONE,0.0,0.0,Point Solution,12
104,DEAL0074,2011-07-24,2011,LegalZoom,FIRM0025,66000000,66000000.0,2,33000000.0,Kleiner Perkins Caufield & Byes,Series B,USA,California,1999,Legal Document Automation,Consumer,Contracts,Peak Load / Staffing,NONE,0.0,0.0,Point Solution,12
105,DEAL0077,2011-08-11,2011,Rocket Lawyer,FIRM0091,above,66000000.0,4,16500000.0,August Capital,Series B,USA,San Francisco,2008,Legal Document Automation,Consumer,Contracts,Peak Load / Staffing,NONE,0.0,0.0,Point Solution,3
106,DEAL0077,2011-08-11,2011,Rocket Lawyer,FIRM0091,above,66000000.0,4,16500000.0,Google Ventures,Series B,USA,San Francisco,2008,Legal Document Automation,Consumer,Contracts,Peak Load / Staffing,NONE,0.0,0.0,Point Solution,3
107,DEAL0077,2011-08-11,2011,Rocket Lawyer,FIRM0091,18500000,18500000.0,4,4625000.0,Industry Ventures,Series B,USA,San Francisco,2008,Legal Document Automation,Consumer,Contracts,Peak Load / Staffing,NONE,0.0,0.0,Point Solution,3
108,DEAL0077,2011-08-11,2011,Rocket Lawyer,FIRM0091,above,18500000.0,4,4625000.0,Investor Growth Capital,Series B,USA,San Francisco,2008,Legal Document Automation,Consumer,Contracts,Peak Load / Staffing,NONE,0.0,0.0,Point Solution,3
109,DEAL0078,2011-08-29,2011,TitanFile,FIRM0192,300000,300000.0,1,300000.0,Innovacorp,Seed Fund,Canada,Ontario,2011,Legal Practice Management,Corporate,Contracts,Workflow & PM,NONE,0.0,0.0,Point Solution,0
110,DEAL0079,2011-10-03,2011,BigTime Software,FIRM0042,above,300000.0,4,75000.0,Geneva Venture Partners,Series A,USA,Chicago,2002,Legal Practice Management,Corporate,Legal Ops,Other Practice Tech,NONE,1.0,0.0,Integrated Solution,9
111,DEAL0079,2011-10-03,2011,BigTime Software,FIRM0042,above,300000.0,4,75000.0,Howell Capital,Series A,USA,Chicago,2002,Legal Practice Management,Corporate,Legal Ops,Other Practice Tech,NONE,1.0,0.0,Integrated Solution,9
112,DEAL0079,2011-10-03,2011,BigTime Software,FIRM0042,above,300000.0,4,75000.0,LTC Partners,Series A,USA,Chicago,2002,Legal Practice Management,Corporate,Legal Ops,Other Practice Tech,NONE,1.0,0.0,Integrated Solution,9
113,DEAL0079,2011-10-03,2011,BigTime Software,FIRM0042,2700000,2700000.0,4,675000.0,Runa Capital,Series A,USA,Chicago,2002,Legal Practice Management,Corporate,Legal Ops,Other Practice Tech,NONE,1.0,0.0,Integrated Solution,9
114,DEAL0080,2011-11-03,2011,Docracy,FIRM0165,650000,650000.0,3,216666.66666666666,First Round Capital,Seed Fund,USA,New York,2011,Legal Document Automation,Consumer,Contracts,NONE,NONE,0.0,0.0,Point Solution,0
115,DEAL0080,2011-11-03,2011,Docracy,FIRM0165,above,650000.0,3,216666.66666666666,Quotidian Ventures,Seed Fund,USA,New York,2011,Legal Document Automation,Consumer,Contracts,NONE,NONE,0.0,0.0,Point Solution,0
116,DEAL0080,2011-11-03,2011,Docracy,FIRM0165,above,650000.0,3,216666.66666666666,Vaizra Investments,Seed Fund,USA,New York,2011,Legal Document Automation,Consumer,Contracts,NONE,NONE,0.0,0.0,Point Solution,0
