,firm_id,firm_name,codex_category,country,city,year_founded,market,problem_1,problem_2,problem_3,analytics,ai,point_integrated,company_url,other_link,comments 
12,FIRM0037,RPost,Legal Practice Management,USA,Los Angeles,2000,Corporate,Contracts,Other Practice Tech,NONE,0,0,Point Solution,https://www.rpost.com/,,"E-delivery proof, encryption an electronic signatures"
13,FIRM0041,Relativity (previously kCura),E-Discovery,USA,Chicago,2013,Corporate,eDiscovery,Other Practice Tech,NONE,1,0,Point Solution,https://www.relativity.com/,,
14,FIRM0042,BigTime Software,Legal Practice Management,USA,Chicago,2002,Corporate,Legal Ops,Other Practice Tech,NONE,1,0,Integrated Solution,https://www.bigtime.net/,,
15,FIRM0045,DocuSign,Legal Practice Management,USA,San Francisco,2003,Corporate,Contracts,Other Practice Tech,NONE,0,0,Point Solution,https://www.docusign.com.au/,,
16,FIRM0050,RiverGlass,Legal Analytics,USA,Illinois,2003,Corporate,eDiscovery,Other Practice Tech,NONE,1,0,Point Solution,https://www.crunchbase.com/organization/riverglass-inc#section-overview,,Acquired by ASG Technologies in 2003
17,FIRM0051,XMLAW,Legal Practice Management,USA,Boston,2003,Corporate,Contracts,Other Practice Tech,NONE,0,0,Integrated Solution,https://www.crunchbase.com/organization/xmlaw,,
18,FIRM0053,Gust,Legal Marketplace,USA,New York,2004,Corporate,DealTech,NONE,NONE,0,0,Integrated Solution,https://gust.com/,,Gust connects startups to angel investors through its platform for funding deals
19,FIRM0055,PSS Systems,E-Discovery,USA,California,2004,Corporate,eDiscovery,Workflow & PM,NONE,0,0,Integrated Solution,https://www.ibm.com/cloud/automation-software/enterprise-content-management,https://www.crunchbase.com/organization/pss-systems#section-overview,
20,FIRM0057,Logikcull,Legal Practice Management,USA,San Francisco,2004,Corporate,eDiscovery,NONE,NONE,1,0,Point Solution,https://logikcull.com/,,
21,FIRM0058,Anaqua,Legal Practice Management,USA,Boston,2004,Corporate,Workflow & PM,Other Practice Tech,NONE,1,0,Integrated Solution,https://www.anaqua.com/,,
22,FIRM0059,Brainspace,Legal Document Automation,USA,Texas,2005,Corporate,eDiscovery,NONE,NONE,1,0,Point Solution,https://www.brainspace.com/,,
23,FIRM0060,EchoSign (now Adobe eSign),Legal Document Automation,USA,Palo Alto,2005,Corporate,Contracts,NONE,NONE,0,0,Point Solution,https://acrobat.adobe.com/au/en/sign.html,,
25,FIRM0063,Pbworks,Legal Document Automation,USA,California,2005,Corporate,Workflow & PM,KM,Other Practice Tech,1,0,Integrated Solution,http://www.pbworks.com/legal.html,,
26,FIRM0064,Pramata,Legal Analytics,USA,California,2005,Corporate,Legal Ops,NONE,NONE,1,1,Integrated Solution,https://www.pramata.com/,,
27,FIRM0065,AudioCaseFiles,E-Discovery,USA,Boston,2006,Corporate,eDiscovery,Other Practice Tech,NONE,0,0,Point Solution,https://www.crunchbase.com/organization/audiocasefiles#section-overview,,
28,FIRM0066,Avvo,Legal Marketplace,USA,Seattle,2006,Consumer,Peak Load / Staffing,Contracts,NONE,0,0,Point Solution,https://www.avvo.com/,,
29,FIRM0069,Brightleaf,Legal Analytics,USA,Massachusetts,2006,Corporate,Legal Research,eDiscovery,NONE,1,1,Point Solution,http://www.brightleaf.com/,,
30,FIRM0070,CosmoLex,Legal Practice Management,USA,New Jersey,2013,Corporate,Legal Ops,Other Practice Tech,KM,1,0,Integrated Solution,https://canada.cosmolex.com/,,
31,FIRM0071,Firmex,Legal Practice Management,Canada,Toronto,2006,Corporate,DealTech,LitTech ,NONE,0,0,Integrated Solution,https://www.firmex.com/virtual-data-room/,,Virtual data room
32,FIRM0072,Innography,Legal Practice Management,USA,Texas,2006,Corporate,Other Practice Tech,NONE,NONE,1,0,Point Solution,https://www.innography.com/,,
33,FIRM0073,TeamPatent,Legal Practice Management,USA,California,2006,Corporate,Other Practice Tech,NONE,NONE,0,0,Point Solution,http://www.teampatent.com/,,Secure patent workspace that allow applicants and examiners to conduct examination through web browers.
35,FIRM0076,Intelligize,Legal Research,USA,New York,2007,Corporate,Legal Research,NONE,NONE,1,0,Point Solution,https://www.intelligize.com/,,Acquired by LexisNexis
36,FIRM0079,RightsFlow,Legal Document Automation,USA,New York,2007,Corporate,Legal Ops,NONE,NONE,0,0,Integrated Solution,https://www.crunchbase.com/organization/rightsflow#section-overview,,"Acquired by Google. Provider of mechanical licensing and royalty accounting, reporting, and payment services for online music companies, record companies, distributors, artists"
37,FIRM0084,Clearpath Immigration,Legal Document Automation,USA,Miami,2008,Consumer,Contracts,NONE,NONE,1,0,Integrated Solution,https://www.crunchbase.com/organization/clearpath-immigration#section-overview,,Software solution that help with U.S. immigration filing process
38,FIRM0085,Clio,Legal Practice Management,Canada,Burnaby,2008,Corporate,Other Practice Tech,Legal Ops,Legal Research,1,0,Integrated Solution,https://www.clio.com/,,
39,FIRM0091,Rocket Lawyer,Legal Document Automation,USA,San Francisco,2008,Consumer,Contracts,Peak Load / Staffing,NONE,0,0,Point Solution,https://www.rocketlawyer.com/,,
40,FIRM0092,RPX Corporation,Legal Research,USA,San Francisco,2008,Corporate,Other Practice Tech,NONE,NONE,0,0,Point Solution,https://www.rpxcorp.com/about-rpx/,,"P provider of patent risk solutions, offering defensive buying, acquisition syndication, patent intelligence, insurance services and advisory services. Acquired in 2018 by HGGC"
41,FIRM0097,TurboPatent,Legal Practice Management,USA,Seattle,2008,Corporate,Other Practice Tech,Legal Research,NONE,1,1,Integrated Solution,https://turbopatent.com/,,
42,FIRM0099,Zapproved,Legal Practice Management,USA,Portland,2008,Corporate,eDiscovery,LitTech ,NONE,1,0,Integrated Solution,https://www.zapproved.com/about-us/company/,,
43,FIRM0100,experdocs (Archevos Corporation),Legal Practice Management,USA,Las Vegas,2009,Corporate,Contracts,KM,NONE,0,0,Integrated Solution,https://www.experdocs.com/,,
44,FIRM0106,Intake 123,Legal Practice Management,USA,Colorado,2009,Corporate,Other Practice Tech,NONE,NONE,1,0,Point Solution,http://www.intake123.com/,,
45,FIRM0107,Lex Machina,Legal Analytics,USA,Menlo Park,2009,Corporate,Legal Research,LitTech ,NONE,1,0,Point Solution,https://lexmachina.com/about/,,
46,FIRM0115,Arachnys,Legal Practice Management,UK,London,2010,Corporate,Legal Research,Other Practice Tech,NONE,1,0,Point Solution,https://www.arachnys.com/,,
47,FIRM0118,Contract Live,Legal Document Automation,France,Paris,2010,Corporate,Contracts,KM,NONE,0,0,Integrated Solution,https://www.linkedin.com/company/witchbird_contract_live/,,Don't seem to have an active website and the co-founder is now co-fouder of Concord
48,FIRM0119,Contractually,Legal Document Automation,Canada,Vancouver,2010,Corporate,Contracts,NONE,NONE,0,0,Integrated Solution,https://www.linkedin.com/company/contractually/,,Now part of Coupa
49,FIRM0124,elAbogado,Legal Marketplace,Spain,Barcelona,2010,Consumer,Peak Load / Staffing,NONE,NONE,0,0,Point Solution,https://www.elabogado.com/,,
50,FIRM0125,Everlaw,Legal Practice Management,USA,California,2010,Corporate,Other Practice Tech,Legal Ops,Workflow & PM,1,0,Integrated Solution,https://www.everlaw.com/,,
51,FIRM0126,ExpertBids.com,Legal Marketplace,USA,Chicago,2010,Corporate,Peak Load / Staffing,NONE,NONE,0,0,Point Solution,http://expertbids.com/,,"ExpertBids aims to help entrepreneurs and businesses to get personalised bids from legal, accounting or consulting professionals"
52,FIRM0130,IP Shark,Legal Research,USA,Los Angeles,2010,Corporate,Other Practice Tech,NONE,NONE,1,0,Point Solution,https://www.ipshark.com/,,
53,FIRM0131,IP Street,Legal Analytics,USA,Washington,2010,Corporate,Other Practice Tech,NONE,NONE,1,0,Point Solution,https://www.linkedin.com/company/ip-street/?originalSubdomain=au,,
54,FIRM0133,LawBooth,Legal Marketplace,Canada,Ontario,2015,Consumer,Peak Load / Staffing,NONE,NONE,0,0,Point Solution,http://www.lawbooth.ca/,,Rebranded as JustLegal
55,FIRM0135,Manzama,E-Discovery,USA,Oregon,2010,Corporate,Legal Research,NONE,NONE,1,1,Point Solution,http://manzama.com/,,
56,FIRM0144,Seal Software,Legal Practice Management,USA,California,2010,Corporate,Legal Research,eDiscovery,NONE,1,1,Integrated Solution,https://www.seal-software.com/platforms,,
57,FIRM0146,The Expert Institute,Legal Marketplace,USA,New York,2010,Corporate,Peak Load / Staffing,NONE,NONE,0,0,Point Solution,https://www.theexpertinstitute.com/,,Connect law firms to expert witnesses
59,FIRM0150,Scrive,Legal Document Automation,Sweden,Stockholm,2010,Corporate,Contracts,Workflow & PM,NONE,0,0,Point Solution,https://www.scrive.com/,,E-signature provider
60,FIRM0151,Assently,Legal Document Automation,Sweden,Stockholm,2010,Corporate,Contracts,NONE,NONE,0,0,Point Solution,https://assently.com/,,E-signature provider
61,FIRM0154,AfterSteps,Legal Document Automation,USA,New York,2011,Consumer,Contracts,KM,NONE,0,0,Point Solution,http://www.aftersteps.com/,,Online end-of-life planning platform
62,FIRM0155,AgileLaw,Legal Practice Management,USA,Austin,2011,Corporate,LitTech ,Workflow & PM,NONE,0,0,Point Solution,https://www.agilelaw.com/,,
63,FIRM0157,Apperio,Legal Analytics,UK,London,2011,Corporate,Legal Ops,Workflow & PM,NONE,1,0,Integrated Solution,https://www.apperio.com/,,
64,FIRM0159,AttorneyFee,Legal Marketplace,USA,California,2011,Consumer,Legal Ops,Peak Load / Staffing,NONE,0,0,Point Solution,https://www.linkedin.com/company/attorneyfee-com/,,AttorneyFee was acquired by LegalZoom
65,FIRM0161,ClaimKit,Legal Document Automation,USA,Kansas,2012,Corporate,Workflow & PM,eDiscovery,NONE,1,0,Point Solution,http://claimkit.com/,,
66,FIRM0162,Clerky,Legal Document Automation,USA,California,2011,Corporate,Contracts,NONE,NONE,0,0,Point Solution,https://www.clerky.com/,,
67,FIRM0165,Docracy,Legal Document Automation,USA,New York,2011,Consumer,Contracts,NONE,NONE,0,0,Point Solution,https://www.linkedin.com/company/docracy/?originalSubdomain=au,,
68,FIRM0167,FindMySong,Legal Document Automation,USA,Los Angeles,2011,Consumer,Contracts,NONE,NONE,0,0,Point Solution,https://www.crunchbase.com/organization/findmysong#section-overview,,
69,FIRM0169,Hire An Esquire,Legal Marketplace,USA,New York,2011,Corporate,Peak Load / Staffing,NONE,NONE,0,0,Point Solution,https://hireanesquire.com/,,
70,FIRM0170,Infinote,Legal Document Automation,USA,California,2011,Corporate,Legal Research,eDiscovery,NONE,1,1,Point Solution,http://infinote.com/,,
71,FIRM0172,iubenda,Legal Document Automation,Italy,Milano,2011,Corporate,Contracts,NONE,NONE,0,0,Point Solution,https://www.iubenda.com/en/,,Help companies' websites and apps compliant with law across multiple countries and legislations
72,FIRM0174,JusticeBox,Online Dispute Resolution,USA,New York,2011,Corporate,LitTech ,Workflow & PM,NONE,0,0,Point Solution,http://justicebox.net/,,Online dispute resolution
73,FIRM0177,LegalFácil,Legal Document Automation,Argentina,Buenos Aires,2011,Consumer,Peak Load / Staffing,Contracts,NONE,0,0,Point Solution,https://legalfacil.com/en/,,
74,FIRM0178,Mimecast,E-Discovery,UK,London,2003,Corporate,eDiscovery,NONE,NONE,1,0,Point Solution,https://www.mimecast.com/,,
75,FIRM0179,Modria,Online Dispute Resolution,USA,California,2011,Corporate,LitTech ,Workflow & PM,NONE,0,0,Point Solution,https://www.tylertech.com/solutions-products/modria,,Online dispute resolution. Acquired by Tyler Technologies
76,FIRM0181,PacerPro,Legal Research,USA,San Francisco,2011,Corporate,Legal Research,NONE,NONE,0,0,Point Solution,https://www.pacerpro.com/,,
77,FIRM0186,Quolaw,Legal Practice Management,Spain,Barcelona,2011,Corporate,Workflow & PM,Legal Ops,NONE,1,0,Integrated Solution,http://quolaw.com/,,
78,FIRM0191,SupportPay,Legal Document Automation,USA,California,2011,Consumer,Legal Ops,Contracts,NONE,0,0,Integrated Solution,https://supportpay.com/product/how-it-works/,,"SupportPay helps parents manage child support and share expenses, resolve payment disputes, and share and track all documents and receipts related to their shared payments. "
79,FIRM0192,TitanFile,Legal Practice Management,Canada,Ontario,2011,Corporate,Contracts,Workflow & PM,NONE,0,0,Point Solution,https://www.titanfile.com/,,Software that helps exchange files securely
80,FIRM0198,AI Patents,Legal Research,USA,Durham,2012,Corporate,Other Practice Tech,Legal Research,NONE,1,1,Point Solution,http://www.aipatents.com/,,AI Patents is an intelligent patent search engine
81,FIRM0203,BleuAcre Systems,Legal Practice Management,USA,Atlanta,2012,Corporate,LitTech ,KM,Workflow & PM,0,0,Integrated Solution,https://www.crunchbase.com/organization/bleuacre-systems,,
82,FIRM0204,Bridge US,Legal Marketplace,USA,San Francisco,2011,Corporate,Workflow & PM,NONE,NONE,0,0,Integrated Solution,https://www.bridge.us/,, Bridge is a platform that combines proprietary workflow technology with world-class legal expertise to simplify the immigration process
83,FIRM0206,CaseFlex,Legal Research,USA,New York,2012,Corporate,Legal Research,NONE,NONE,0,0,Point Solution,https://www.g2crowd.com/categories/legal-case-management,,
84,FIRM0208,cicayda,Legal Practice Management,USA,Nashville,2012,Corporate,Workflow & PM,eDiscovery,NONE,1,0,Integrated Solution,https://cicayda.com/,,
85,FIRM0209,ClauseMatch,Legal Document Automation,UK,London,2012,Corporate,Contracts,Workflow & PM,NONE,1,0,Integrated Solution,http://www.clausematch.com/,,
86,FIRM0210,ClearContract,Legal Document Automation,USA,Illinois,2012,Corporate,Contracts,Workflow & PM,NONE,1,0,Integrated Solution,https://www.crunchbase.com/organization/clearcontract#section-overview,,Don't think the company is still active
87,FIRM0213,ContractRoom,Legal Document Automation,USA,California,2012,Corporate,Contracts,Workflow & PM,NONE,1,1,Integrated Solution,http://www.contractroom.com/#features,,
88,FIRM0217,CS Disco,Legal Practice Management,USA,Houston,2012,Corporate,Workflow & PM,eDiscovery,NONE,1,1,Integrated Solution,https://www.csdisco.com/,,
89,FIRM0220,eBrevia,Legal Analytics,USA,Stamford,2012,Corporate,Contracts,DealTech,Workflow & PM,1,1,Integrated Solution,https://ebrevia.com/#whyebrevia,,"Uses machine learning technology to conduct legal document review for due diligence, contract maangemet and document drafting"
90,FIRM0223,Carta (previously eShares),Legal Document Automation,USA,Palo Alto,2012,Corporate,Contracts,NONE,NONE,1,0,Integrated Solution,https://carta.com/,,
91,FIRM0225,everplans,Legal Document Automation,USA,New York,2012,Consumer,Contracts,NONE,NONE,0,0,Point Solution,https://www.everplans.com/,,"Everplan is a secure, digital archive."
92,FIRM0231,ipnexus,Legal Marketplace,Hong Kong,Hong Kong,2012,Corporate,Peak Load / Staffing,NONE,NONE,0,0,Point Solution,https://www.ipnexus.com/,, Global marketplace for IP
93,FIRM0233,Judicata,Legal Research,USA,San Francisco,2012,Corporate,Legal Research,NONE,NONE,1,0,Point Solution,https://www.judicata.com/,,
94,FIRM0235,Juristat,Legal Analytics,USA,St Louis,2012,Corporate,Other Practice Tech,Contracts,NONE,1,0,Point Solution,https://www.juristat.com/,,
95,FIRM0239,Lawdingo,Legal Marketplace,USA,New York,2012,Corporate,Peak Load / Staffing,NONE,NONE,0,0,Point Solution,https://www.lawdingo.com/,,
96,FIRM0241,LawKick,Legal Marketplace,USA,Santa Monica,2012,Consumer,Peak Load / Staffing,NONE,NONE,0,0,Point Solution,https://www.linkedin.com/company/lawkick/,,
97,FIRM0246,LegalReach,Legal Marketplace,USA,San Francisco,2012,Consumer,Peak Load / Staffing,NONE,NONE,0,0,Point Solution,https://www.legalreach.com/,,
98,FIRM0248,LEVERTON,Legal Document Automation,Germany,Berlin,2012,Corporate,Legal Research,Contracts,NONE,1,1,Point Solution,https://www.leverton.ai/,,
99,FIRM0253,Mark43,E-Discovery,USA,New York,2012,Corporate,Legal Ops,Other Practice Tech,NONE,1,0,Integrated Solution,https://www.mark43.com/,,"LegalTech solution catered to public safety service, specifically allowing first responders to collect, manage, analyze, and share information."
100,FIRM0260,Peppercorn,Legal Document Automation,Italy,Milano,2012,Consumer,Contracts,NONE,NONE,0,0,Point Solution,https://www.linkedin.com/company/peppercorn-it/,,
101,FIRM0262,Qodeo,Legal Research,UK,London,2012,Corporate,Peak Load / Staffing,NONE,NONE,1,0,Point Solution,https://www.qodeo.com/,,
102,FIRM0263,Ravel Law,Legal Research,USA,San Francisco,2012,Corporate,Legal Research,NONE,NONE,1,1,Point Solution,http://ravellaw.com/,,Ravel Law was acquired by LexisNexis
103,FIRM0265,Reorg Research,Legal Practice Management,USA,New York,2012,Corporate,Legal Research,NONE,NONE,1,0,Point Solution,https://reorg-research.com/home,,
104,FIRM0267,RETiDoc,Legal Document Automation,Bulgaria,Sofia,2012,Corporate,Contracts,eDiscovery,NONE,1,0,Point Solution,https://www.retidoc.com/,,
105,FIRM0269,RSVP Law,Legal Marketplace,USA,California,2013,Corporate,Legal Research,NONE,NONE,1,0,Point Solution,https://www.linkedin.com/company/rsvp-law/,,
106,FIRM0271,Shake,Legal Document Automation,USA,New York,2012,Consumer,Contracts,NONE,NONE,0,0,Point Solution,http://www.shakelaw.com/,,"Mobile app that allows users to create, sign and send legally binding agreements"
107,FIRM0273,Startup Quest,Legal Education,USA,Colorado,2012,Corporate,Legal Education,NONE,NONE,0,0,Point Solution,https://www.linkedin.com/company/startup-quest/,,Online e-learning platform for startups and SMEs.
108,FIRM0276,UpCounsel,Legal Marketplace,USA,San Francisco,2012,Corporate,Peak Load / Staffing,NONE,NONE,0,0,Point Solution,https://www.upcounsel.com/,,
109,FIRM0278,Viewabill,Legal Analytics,USA,Columbus,2012,Corporate,Legal Ops,NONE,NONE,1,0,Integrated Solution,https://www.viewabill.com/pages/home,,
110,FIRM0281,Wevorce,Legal Document Automation,USA,Idaho,2012,Consumer,Contracts,Workflow & PM,NONE,1,0,Integrated Solution,https://www.wevorce.com/,,
111,FIRM0282,wireLawyer,Legal Marketplace,USA,New York,2012,Corporate,Peak Load / Staffing,NONE,NONE,0,0,Point Solution,http://wirelawyer.herokuapp.com/,,The platform also creates an attorney to attorney referral community online
112,FIRM0283,WordRake,Legal Practice Management,USA,Washington,2012,Corporate,Other Practice Tech,NONE,NONE,0,0,Point Solution,https://www.wordrake.com/,,WordRake is an editing software for lawyers
113,FIRM0284,ZeekBeek,Legal Marketplace,USA,Delaware,2012,Consumer,Peak Load / Staffing,NONE,NONE,0,0,Point Solution,https://www.crunchbase.com/organization/cloudlaw--zeekbeek-#section-overview,,
114,FIRM0285,TrademarkNow,Legal Document Automation,USA,New York,2012,Corporate,Legal Research,NONE,NONE,1,1,Point Solution,https://www.trademarknow.com/,,
115,FIRM0288,AdviseHub,Legal Marketplace,USA,California,2013,Consumer,Peak Load / Staffing,NONE,NONE,0,0,Point Solution,https://www.linkedin.com/company/advisehub/,,
116,FIRM0290,AirHelp,Legal Document Automation,USA,New York,2013,Consumer,Contracts,NONE,NONE,1,0,Integrated Solution,https://www.airhelp.com/en/,,
117,FIRM0291,Alt Legal,Legal Practice Management,USA,New York,2013,Corporate,Other Practice Tech,Workflow & PM,NONE,1,0,Integrated Solution,https://www.altlegal.com/,,Alt Legal's automated US trademark docketing software detects and updates changes to  filings and all statutory deadlines
118,FIRM0294,Beagle.ai,Legal Analytics,Canada,Ontario,2013,Corporate,Legal Research,NONE,NONE,1,1,Integrated Solution,https://www.beagle.ai/,,
119,FIRM0300,Captain Contrat,Legal Document Automation,France,Paris,2013,Corporate,Contracts,Peak Load / Staffing,NONE,0,0,Integrated Solution,https://www.captaincontrat.com/,,Captain Contrat helps startups & SMEs by providing legal deocuments and network of lawyers
120,FIRM0302,CaseRails,Legal Document Automation,USA,New York,2013,Corporate,Workflow & PM,Contracts,KM,1,0,Integrated Solution,https://www.linkedin.com/company/caserails/,,
121,FIRM0303,Casetext,Legal Research,USA,San Francisco,2013,Corporate,Legal Research,NONE,NONE,1,1,Point Solution,https://casetext.com/features,,
122,FIRM0307,ClearView Social,Legal Practice Management,USA,New York,2013,Corporate,Other Practice Tech,NONE,NONE,1,1,Point Solution,https://clearviewsocial.com/,,
123,FIRM0309,Contract Cloud,Legal Document Automation,USA,Los Angeles,2013,Corporate,Workflow & PM,LitTech ,NONE,0,0,Point Solution,https://www.linkedin.com/company/contract-cloud-inc/,,
124,FIRM0310,Counselytics,Legal Analytics,USA,New York,2014,Corporate,Legal Research,eDiscovery,NONE,1,1,Point Solution,http://counselytics.com/,,Acquired by Conga recently
125,FIRM0311,Court Innovations (now Matterhorn),Online Dispute Resolution,USA,Michigan,2014,Corporate,LitTech ,Workflow & PM,Legal Ops,1,0,Integrated Solution,https://getmatterhorn.com/,,"Online dispute resolution. Matterhorn allows courts and agencies to handle large volumes of infractions, disputes, warrants and other cases—all online"
126,FIRM0313,CrowdJustice,Legal Marketplace,UK,London,2013,Consumer,Peak Load / Staffing,NONE,NONE,0,0,Point Solution,https://www.crowdjustice.com/,,Crowdfunding platform for legal action
127,FIRM0325,Fair and Square,Online Dispute Resolution,Ireland,Dublin,2013,Consumer,LitTech ,Workflow & PM,NONE,0,0,Integrated Solution,http://fairandsquare.ie/,,Online dispute resolution. Solution for consumer market to negotiate over personal effects after separation or after someone has passed away
128,FIRM0326,FiscalNote,Legal Analytics,USA,Washington,2013,Corporate,Workflow & PM,NONE,NONE,1,1,Integrated Solution,https://fiscalnote.com/,,
129,FIRM0327,Fixed (now Lawgix),Legal Marketplace,USA,San Francisco,2013,Corporate,Peak Load / Staffing,Workflow & PM,NONE,1,0,Integrated Solution,https://www.lawgixlaw.com/,,
130,FIRM0333,Ipselex,Legal Research,Hong Kong,Hong Kong,2013,Corporate,Other Practice Tech,NONE,NONE,1,1,Integrated Solution,https://www.crunchbase.com/organization/ipselex#section-overview,,
131,FIRM0335,JustLegal,Legal Marketplace,USA,Texas,2013,Consumer,Peak Load / Staffing,NONE,NONE,0,0,Point Solution,https://www.crunchbase.com/organization/congo#section-overview,,
132,FIRM0344,LawyerFair,Legal Marketplace,UK,London,2013,Corporate,Peak Load / Staffing,NONE,NONE,0,0,Point Solution,https://www.linkedin.com/company/lawyerfair/,,
133,FIRM0348,Legal Hero,Legal Marketplace,USA,New York,2013,Corporate,Peak Load / Staffing,NONE,NONE,0,0,Point Solution,https://www.linkedin.com/company/legal-hero-llc/,,
134,FIRM0351,LegalCrunch,Legal Document Automation,USA,New York,2012,Consumer,Contracts,NONE,NONE,0,0,Point Solution,https://www.crunchbase.com/organization/legalcrunch#section-overview,,
135,FIRM0354,LegalSifter,Legal Analytics,USA,Pittsburgh,2013,Corporate,Legal Research,KM,NONE,1,1,Integrated Solution,https://www.legalsifter.com/legalsifter-product,,
136,FIRM0356,LegalTrek,Legal Practice Management,Germany,Berlin,2013,Corporate,Other Practice Tech,Workflow & PM,Legal Ops,1,0,Integrated Solution,https://legaltrek.com/,,
137,FIRM0362,Lexdir,Legal Marketplace,Spain,Espina,2013,Corporate,Legal Research,Peak Load / Staffing,NONE,0,0,Integrated Solution,https://www.linkedin.com/company/lexdir/,,
138,FIRM0365,Loudr,Legal Document Automation,USA,San Francisco,2013,Corporate,Contracts,NONE,NONE,1,0,Integrated Solution,https://loudr.fm/,,"Acquired by Spotify. Loudr builds products and services that make it easy for content creators, aggregators and digital music services to identify, track and pay music publishers"
139,FIRM0367,ModusP,Legal Research,USA,Palo Alto,2013,Corporate,KM,NONE,NONE,1,0,Point Solution,https://www.crunchbase.com/organization/modusp#section-overview,,
140,FIRM0368,MyDocSafe,Legal Document Automation,UK,Bedford,2013,Corporate,Contracts,Workflow & PM,Legal Ops,1,0,Integrated Solution,https://mydocsafe.com/uk/,,
141,FIRM0369,NetLex,Legal Practice Management,Italy,Rome,2013,Corporate,Legal Ops,Workflow & PM,Other Practice Tech,1,0,Integrated Solution,https://www.netlexweb.com/,,
142,FIRM0375,Planned Departure,Legal Document Automation,UK,London,2013,Consumer,Contracts,NONE,NONE,0,0,Point Solution,https://www.linkedin.com/company/planned-departure-pvt-lts/,,
143,FIRM0380,Shoobx,Legal Document Automation,USA,Boston,2013,Corporate,Contracts,Workflow & PM,Legal Ops,1,0,Integrated Solution,https://www.shoobx.com/,,
144,FIRM0381,SimpleLegal,Legal Analytics,USA,California,2013,Corporate,Legal Ops,Workflow & PM,NONE,1,0,Integrated Solution,https://www.simplelegal.com/,,
145,FIRM0384,Swiftcourt,Online Dispute Resolution,Denmark,Copenhagen,2013,Corporate,LitTech ,Contracts,NONE,0,0,Integrated Solution,https://swiftcourt.com/en/how-it-works,,Swiftcourt is an online arbitration platform that enables individuals and small- & medium-sized companies to secure their transactions and contracts on- and offline
146,FIRM0386,TenderScout,Legal Practice Management,Ireland,Dublin,2013,Corporate,Other Practice Tech,NONE,NONE,1,0,Point Solution,https://www.tenderscout.com/,,
147,FIRM0387,Termsheet.io,Legal Document Automation,India,Chennai,2013,Corporate,DealTech,Workflow & PM,NONE,1,0,Point Solution,https://www.crunchbase.com/organization/termsheet-io#section-overview,,
